OBJECTID,RowNumber,Incident_Type,Date_Occurred,Date_Received,File_Number,Investigation_Status,Disposition,Citizen_Arrested,UseOfForce_Reason,Citizen_Injured,Officer_Injured,Cit_Infl_Assmt,Report_Type,Sex,Race,Citizen_Age,Year,Force_Used
756,756,Use of force,2019/12/28 05:00:00+00,2019/12/28 05:00:00+00,IA2020-0066,Completed,Exonerated,Yes,Combative,Yes,No,Alcohol and unknown drugs,Complainant,Male,White,46-55,2019,Taser
757,757,Use of force,2019/12/28 05:00:00+00,2019/12/28 05:00:00+00,IA2020-0066,Completed,Exonerated,Yes,Combative,Yes,No,Alcohol and unknown drugs,Complainant,Male,White,46-55,2019,Taser
758,758,Use of force,2020/01/06 05:00:00+00,2020/01/07 05:00:00+00,IA2020-0022,Completed,Exonerated,Yes,Non-Compliance,Yes,No,Unknown,Complainant,Male,Black,18-25,2020,Physical Force
759,759,Use of force,2020/01/06 05:00:00+00,2020/01/07 05:00:00+00,IA2020-0022,Completed,Exonerated,Yes,Non-Compliance,Yes,No,Unknown,Complainant,Male,Black,18-25,2020,Physical Force
760,760,Use of force,2019/11/26 05:00:00+00,2020/01/22 05:00:00+00,IA2020-0014,Completed,Exonerated,Yes,Combative,Yes,Yes,Drugs,Complainant,Male,Black,36-45,2019,Taser
761,761,Use of force,2019/11/26 05:00:00+00,2020/01/22 05:00:00+00,IA2020-0014,Completed,Exonerated,Yes,Combative,Yes,Yes,Drugs,Complainant,Male,Black,36-45,2019,Physical Force
762,762,Use of force,2019/11/26 05:00:00+00,2020/01/22 05:00:00+00,IA2020-0014,Completed,Exonerated,Yes,Combative,Yes,Yes,Drugs,Complainant,Male,Black,36-45,2019,Physical Force
763,763,Use of force,2019/11/26 05:00:00+00,2020/01/22 05:00:00+00,IA2020-0014,Completed,Exonerated,Yes,Combative,Yes,Yes,Drugs,Complainant,Male,Black,36-45,2019,Physical Force
764,764,Use of force,2019/11/26 05:00:00+00,2020/01/22 05:00:00+00,IA2020-0014,Completed,Exonerated,Yes,Combative,Yes,Yes,Drugs,Complainant,Male,Black,36-45,2019,Physical Force
765,765,Use of force,2019/11/26 05:00:00+00,2020/01/22 05:00:00+00,IA2020-0014,Completed,Exonerated,Yes,Combative,Yes,Yes,Drugs,Complainant,Male,Black,36-45,2019,Physical Force
766,766,Use of force,2019/11/26 05:00:00+00,2020/01/22 05:00:00+00,IA2020-0014,Completed,Exonerated,Yes,Combative,Yes,Yes,Drugs,Complainant,Male,Black,36-45,2019,Physical Force
767,767,Use of force,2019/11/26 05:00:00+00,2020/01/22 05:00:00+00,IA2020-0014,Completed,Exonerated,Yes,Combative,Yes,Yes,Drugs,Complainant,Male,Black,36-45,2019,Taser
768,768,Use of force,2020/01/12 05:00:00+00,2020/01/12 05:00:00+00,IA2020-0048,Completed,Exonerated,Yes,Non-Compliance,No,No,Mentally unstable,Complainant,Male,Black,18-25,2020,Taser
769,769,Use of force,2020/01/18 05:00:00+00,2020/01/18 05:00:00+00,IA2020-0034,Completed,Exonerated,Yes,Combative,Yes,No,Mentally unstable,Complainant,Male,Black,36-45,2020,Physical Force
770,770,Use of force,2020/01/18 05:00:00+00,2020/01/18 05:00:00+00,IA2020-0034,Completed,Exonerated,Yes,Combative,Yes,No,Mentally unstable,Complainant,Male,Black,36-45,2020,Physical Force
771,771,Use of force,2019/12/20 05:00:00+00,2019/12/20 05:00:00+00,IA2020-0047,Completed,Exonerated,Yes,Combative,No,Yes,Unknown,Complainant,Male,Black,36-45,2019,Pepper Spray
772,772,Use of force,2019/12/20 05:00:00+00,2019/12/20 05:00:00+00,IA2020-0047,Completed,Exonerated,Yes,Combative,No,Yes,Unknown,Complainant,Male,Black,36-45,2019,Physical Force
773,773,Use of force,2020/01/13 05:00:00+00,2020/01/13 05:00:00+00,IA2020-0064,Completed,Exonerated,Yes,Fleeing,No,Yes,Unknown,Complainant,Male,Black,36-45,2020,Taser
774,774,Use of force,2020/01/26 05:00:00+00,2020/01/26 05:00:00+00,IA2020-0040,Completed,Exonerated,Yes,Fleeing,Yes,No,Unknown,Complainant,Male,Black,18-25,2020,Taser
775,775,Use of force,2020/01/11 05:00:00+00,2020/01/11 05:00:00+00,IA2020-0018,Completed,Exonerated,Yes,Non-Compliance,Yes,No,None detected,Complainant,Male,White,26-35,2020,Taser
776,776,Use of force,2020/01/16 05:00:00+00,2020/01/16 05:00:00+00,IA2020-0068,Completed,Exonerated,Yes,Fleeing,No,No,Unknown,Complainant,Male,Black,18-25,2020,Taser
777,777,Use of force,2020/01/16 05:00:00+00,2020/01/16 05:00:00+00,IA2020-0068,Completed,Exonerated,Yes,Fleeing,No,No,Unknown,Complainant,Male,Black,18-25,2020,Taser
778,778,Use of force,2020/01/18 05:00:00+00,2020/01/18 05:00:00+00,IA2020-0052,Completed,Exonerated,Yes,Fleeing,No,No,None detected,Complainant,Male,Black,18-25,2020,Taser
779,779,Use of force,2020/02/08 05:00:00+00,2020/02/08 05:00:00+00,IA2020-0043,Completed,Exonerated,Yes,Fleeing,Yes,No,Unknown,Complainant,Male,White,36-45,2020,Taser
780,780,Use of force,2020/02/08 05:00:00+00,2020/02/08 05:00:00+00,IA2020-0043,Completed,Exonerated,Yes,Fleeing,Yes,No,Unknown,Complainant,Male,White,36-45,2020,Other
781,781,Use of force,2020/01/29 05:00:00+00,2020/01/29 05:00:00+00,IA2020-0049,Completed,Exonerated,Yes,Fleeing,No,No,Unknown,Complainant,Male,Black,26-35,2020,Taser
782,782,Use of force,2020/01/29 05:00:00+00,2020/01/29 05:00:00+00,IA2020-0049,Completed,Exonerated,Yes,Fleeing,No,No,Unknown,Complainant,Male,Black,26-35,2020,Taser
783,783,Use of force,2020/01/30 05:00:00+00,2020/01/30 05:00:00+00,IA2020-0058,Completed,Exonerated,Yes,Fleeing,Yes,No,Drugs,Complainant,Female,Black,26-35,2020,Canine
784,784,Use of force,2020/02/07 05:00:00+00,2020/02/07 05:00:00+00,IA2020-0097,Completed,Exonerated,Yes,Fleeing,Yes,No,None detected,Complainant,Male,White,36-45,2020,Taser
785,785,Use of force,2020/02/09 05:00:00+00,2020/02/09 05:00:00+00,IA2020-0087,Completed,Exonerated,Yes,Non-Compliance,Yes,No,Unknown Drugs,Complainant,Male,White,26-35,2020,Other
786,786,Use of force,2020/02/09 05:00:00+00,2020/02/09 05:00:00+00,IA2020-0087,Completed,Exonerated,Yes,Non-Compliance,Yes,No,Unknown Drugs,Complainant,Male,White,26-35,2020,Physical Force
787,787,Use of force,2020/02/09 05:00:00+00,2020/02/09 05:00:00+00,IA2020-0087,Completed,Exonerated,Yes,Non-Compliance,Yes,No,Unknown Drugs,Complainant,Male,White,26-35,2020,Other
788,788,Use of force,2020/02/07 05:00:00+00,2020/02/07 05:00:00+00,IA2020-0088,Completed,Exonerated,Yes,Fleeing,Yes,No,Unknown,Complainant,Male,Black,26-35,2020,Canine
789,789,Use of force,2020/02/10 05:00:00+00,2020/02/11 05:00:00+00,IA2020-0056,Completed,Exonerated,Yes,Non-Compliance,No,No,None detected,Complainant,Male,Black,26-35,2020,Taser
790,790,Use of force,2020/02/12 05:00:00+00,2020/02/12 05:00:00+00,IA2020-0101,Completed,Exonerated,Yes,Combative,Yes,No,Unknown Drugs,Complainant,Male,White,36-45,2020,Taser
791,791,Use of force,2020/02/12 05:00:00+00,2020/02/12 05:00:00+00,IA2020-0101,Completed,Exonerated,Yes,Combative,Yes,No,Unknown Drugs,Complainant,Male,White,36-45,2020,Physical Force
792,792,Use of force,2020/02/12 05:00:00+00,2020/02/12 05:00:00+00,IA2020-0101,Completed,Exonerated,Yes,Combative,Yes,No,Unknown Drugs,Complainant,Male,White,36-45,2020,Physical Force
793,793,Use of force,2020/02/14 05:00:00+00,2020/02/14 05:00:00+00,IA2020-0089,Completed,Exonerated,Yes,Combative,Yes,Yes,None detected,Complainant,Male,Black,26-35,2020,Physical Force
794,794,Use of force,2020/02/19 05:00:00+00,2020/02/19 05:00:00+00,IA2020-0091,Completed,Exonerated,Yes,Fleeing,No,No,Unknown,Complainant,Male,Black,18-25,2020,Taser
795,795,Use of force,2020/02/19 05:00:00+00,2020/02/19 05:00:00+00,IA2020-0091,Completed,Exonerated,Yes,Fleeing,No,No,Unknown,Complainant,Male,Black,18-25,2020,Physical Force
796,796,Use of force,2020/02/19 05:00:00+00,2020/02/19 05:00:00+00,IA2020-0091,Completed,Exonerated,Yes,Fleeing,No,No,Unknown,Complainant,Male,Black,18-25,2020,Physical Force
797,797,Use of force,2020/02/19 05:00:00+00,2020/02/19 05:00:00+00,IA2020-0091,Completed,Exonerated,Yes,Fleeing,No,No,Unknown,Complainant,Male,Black,18-25,2020,Physical Force
798,798,Use of force,2020/02/19 05:00:00+00,2020/02/19 05:00:00+00,IA2020-0091,Completed,Exonerated,Yes,Fleeing,No,No,Unknown,Complainant,Male,Black,18-25,2020,Physical Force
799,799,Use of force,2020/02/19 05:00:00+00,2020/02/19 05:00:00+00,IA2020-0091,Completed,Exonerated,Yes,Fleeing,No,No,Unknown,Complainant,Male,Black,18-25,2020,Other
800,800,Use of force,2020/02/19 05:00:00+00,2020/02/19 05:00:00+00,IA2020-0091,Completed,Exonerated,Yes,Fleeing,No,No,Unknown,Complainant,Male,Black,18-25,2020,Physical Force
801,801,Use of force,2020/02/26 05:00:00+00,2020/02/26 05:00:00+00,IA2020-0106,Completed,Exonerated,Yes,Non-Compliance,Yes,No,Drugs,Complainant,Male,White,26-35,2020,Physical Force
802,802,Use of force,2020/02/15 05:00:00+00,2020/02/15 05:00:00+00,IA2020-0107,Completed,Exonerated,Yes,Fleeing,No,No,None detected,Complainant,Male,Black,26-35,2020,Taser
803,803,Use of force,2020/02/18 05:00:00+00,2020/02/18 05:00:00+00,IA2020-0092,Completed,Exonerated,Yes,Fleeing,Yes,No,Unknown,Complainant,Male,Black,18-25,2020,Canine
804,804,Use of force,2020/03/03 05:00:00+00,2020/03/03 05:00:00+00,IA2020-0121,Completed,Exonerated,Yes,Non-Compliance,Yes,No,Alcohol,Complainant,Male,Black,36-45,2020,Physical Force
805,805,Use of force,2020/03/03 05:00:00+00,2020/03/03 05:00:00+00,IA2020-0121,Completed,Exonerated,Yes,Non-Compliance,Yes,No,Alcohol,Complainant,Male,Black,36-45,2020,
806,806,Use of force,2020/02/19 05:00:00+00,2020/02/19 05:00:00+00,IA2020-0090,Completed,Exonerated,Yes,Non-Compliance,Yes,No,Unknown Drugs,Complainant,Male,White,36-45,2020,Taser
807,807,Use of force,2020/02/19 05:00:00+00,2020/02/19 05:00:00+00,IA2020-0090,Completed,Exonerated,Yes,Non-Compliance,Yes,No,Unknown Drugs,Complainant,Male,White,36-45,2020,Taser
808,808,Use of force,2019/12/21 05:00:00+00,2019/12/21 05:00:00+00,IA2020-0096,Completed,Exonerated,Yes,Non-Compliance,Yes,No,,Complainant,Male,Black,18-25,2019,Physical Force
809,809,Use of force,2020/02/29 05:00:00+00,2020/02/29 05:00:00+00,IA2020-0083,Completed,Exonerated,Yes,Fleeing,No,No,None detected,Complainant,Male,Black,36-45,2020,Taser
810,810,Use of force,2020/03/04 05:00:00+00,2020/03/04 05:00:00+00,IA2020-0108,Completed,Exonerated,Yes,Non-Compliance,Yes,No,Unknown,Complainant,Male,Black,26-35,2020,Taser
811,811,Use of force,2020/02/25 05:00:00+00,2020/02/25 05:00:00+00,IA2020-0103,Completed,Exonerated,Yes,Fleeing,Yes,No,Unknown,Complainant,Male,Black,18-25,2020,Canine
812,812,Use of force,2020/02/25 05:00:00+00,2020/02/25 05:00:00+00,IA2020-0103,Completed,Exonerated,Yes,Fleeing,Yes,No,Unknown,Complainant,Male,Black,18-25,2020,Canine
813,813,Use of force,2020/02/25 05:00:00+00,2020/02/25 05:00:00+00,IA2020-0103,Completed,Exonerated,Yes,Fleeing,Yes,No,Unknown,Complainant,Male,Black,18-25,2020,Canine
814,814,Use of force,2020/02/25 05:00:00+00,2020/02/25 05:00:00+00,IA2020-0103,Completed,Exonerated,Yes,Fleeing,Yes,No,Unknown,Complainant,Male,Black,18-25,2020,Canine
815,815,Use of force,2020/03/09 03:59:59+00,2020/03/18 03:59:59+00,IA2020-0100,Completed,Exonerated,Yes,Fleeing,Yes,No,Mentally unstable,Complainant,Male,White,18-25,2020,Taser
816,816,Use of force,2020/03/05 05:00:00+00,2020/03/05 05:00:00+00,IA2020-0099,Completed,Exonerated,Yes,Non-Compliance,No,No,Drugs,Complainant,Female,Black,18-25,2020,Taser
817,817,Use of force,2020/03/12 03:59:59+00,2020/03/12 03:59:59+00,IA2020-0126,Completed,Exonerated,Yes,Combative,Yes,No,Unknown Drugs,Complainant,Male,White,26-35,2020,Taser
818,818,Use of force,2020/03/12 03:59:59+00,2020/03/12 03:59:59+00,IA2020-0126,Completed,Exonerated,Yes,Combative,Yes,No,Unknown Drugs,Complainant,Male,White,26-35,2020,Physical Force
819,819,Use of force,2020/03/12 03:59:59+00,2020/03/12 03:59:59+00,IA2020-0126,Completed,Exonerated,Yes,Combative,Yes,No,Unknown Drugs,Complainant,Male,White,26-35,2020,Physical Force
820,820,Use of force,2020/03/10 03:59:59+00,2020/03/10 03:59:59+00,IA2020-0114,Completed,Exonerated,Yes,Combative,No,Yes,None detected,Complainant,Male,Black,18-25,2020,Physical Force
821,821,Use of force,2020/03/10 03:59:59+00,2020/03/10 03:59:59+00,IA2020-0114,Completed,Exonerated,Yes,Combative,No,Yes,None detected,Complainant,Male,Black,18-25,2020,Taser
822,822,Use of force,2020/03/13 03:59:59+00,2020/03/13 03:59:59+00,IA2020-0118,Completed,Exonerated,Yes,Non-Compliance,No,No,None detected,Complainant,Male,White,26-35,2020,Physical Force
823,823,Use of force,2020/04/01 03:59:59+00,2020/04/01 03:59:59+00,IA2020-0158,Completed,Exonerated,No,Threats,Yes,No,Alcohol,Complainant,Male,White,>55,2020,Physical Force
824,824,Use of force,2020/03/27 03:59:59+00,2020/03/27 03:59:59+00,IA2020-0138,Completed,Exonerated,Yes,Combative,No,No,None detected,Complainant,Male,Black,26-35,2020,Physical Force
825,825,Use of force,2020/03/28 03:59:59+00,2020/03/28 03:59:59+00,IA2020-0123,Completed,Exonerated,Yes,Non-Compliance,Yes,No,Alcohol,Complainant,Male,White,36-45,2020,Physical Force
826,826,Use of force,2020/03/18 03:59:59+00,2020/03/18 03:59:59+00,IA2020-0141,Completed,Exonerated,No,Fleeing,No,No,None detected,Complainant,Male,Black,0-17,2020,Impact Weapon
827,827,Use of force,2020/03/18 03:59:59+00,2020/03/18 03:59:59+00,IA2020-0141,Completed,Exonerated,No,Fleeing,No,No,None detected,Complainant,Male,Black,0-17,2020,Taser
828,828,Use of force,2020/03/18 03:59:59+00,2020/03/18 03:59:59+00,IA2020-0141,Completed,Exonerated,No,Fleeing,No,No,None detected,Complainant,Male,Black,0-17,2020,Physical Force
829,829,Use of force,2020/03/18 03:59:59+00,2020/03/18 03:59:59+00,IA2020-0141,Completed,Exonerated,No,Fleeing,No,No,None detected,Complainant,Male,Black,0-17,2020,Physical Force
830,830,Use of force,2020/03/21 03:59:59+00,2020/03/21 03:59:59+00,IA2020-0144,Completed,Exonerated,Yes,Fleeing,No,No,Unknown,Complainant,Male,Black,18-25,2020,Taser
831,831,Use of force,2020/03/21 03:59:59+00,2020/03/21 03:59:59+00,IA2020-0144,Completed,Exonerated,Yes,Fleeing,No,No,Unknown,Complainant,Male,Black,18-25,2020,Physical Force
832,832,Use of force,2020/04/01 03:59:59+00,2020/04/01 03:59:59+00,IA2020-0146,Completed,Exonerated,Yes,Non-Compliance,Yes,No,None detected,Complainant,Male,Black,0-17,2020,Physical Force
833,833,Use of force,2020/02/17 05:00:00+00,2020/04/14 03:59:59+00,IA2020-0128,Completed,Exonerated,Yes,Combative,No,No,Drugs,Complainant,Male,White,26-35,2020,
834,834,Use of force,2020/02/17 05:00:00+00,2020/04/14 03:59:59+00,IA2020-0128,Completed,Exonerated,Yes,Combative,No,No,Drugs,Complainant,Male,White,26-35,2020,
835,835,Use of force,2020/02/17 05:00:00+00,2020/04/14 03:59:59+00,IA2020-0128,Completed,Exonerated,Yes,Combative,No,No,Drugs,Complainant,Male,White,26-35,2020,
836,836,Use of force,2020/04/13 03:59:59+00,2020/04/13 03:59:59+00,IA2020-0155,Completed,Exonerated,Yes,Fleeing,Yes,No,None detected,Complainant,Male,White,>55,2020,Physical Force
837,837,Use of force,2020/04/10 03:59:59+00,2020/04/10 03:59:59+00,IA2020-0163,Completed,Exonerated,Yes,Non-Compliance,Yes,No,None detected,Complainant,Male,Black,0-17,2020,Other
838,838,Use of force,2020/04/10 03:59:59+00,2020/04/10 03:59:59+00,IA2020-0163,Completed,Exonerated,Yes,Non-Compliance,Yes,No,None detected,Complainant,Male,Black,0-17,2020,
839,839,Use of force,2020/04/23 03:59:59+00,2020/04/23 03:59:59+00,IA2020-0223,Completed,Exonerated,No,Non-Compliance,Yes,No,Mentally unstable,Complainant,Female,White,18-25,2020,Physical Force
840,840,Use of force,2020/04/19 03:59:59+00,2020/04/19 03:59:59+00,IA2020-0167,Completed,Exonerated,Yes,Non-Compliance,Yes,No,Alcohol,Complainant,Male,Black,36-45,2020,Taser
841,841,Use of force,2020/04/19 03:59:59+00,2020/04/19 03:59:59+00,IA2020-0167,Completed,Exonerated,Yes,Non-Compliance,Yes,No,Alcohol,Complainant,Male,Black,36-45,2020,Taser
842,842,Use of force,2020/04/08 03:59:59+00,2020/04/08 03:59:59+00,IA2020-0186,Completed,Exonerated,No,Non-Compliance,No,No,Mentally unstable,Complainant,Male,Asian,36-45,2020,Taser
843,843,Use of force,2020/03/30 03:59:59+00,2020/03/30 03:59:59+00,IA2020-0165,Completed,Exonerated,No,Non-Compliance,Yes,No,Unknown,Complainant,Male,Black,18-25,2020,Other
844,844,Use of force,2020/04/21 03:59:59+00,2020/04/21 03:59:59+00,IA2020-0203,Completed,Exonerated,Yes,Non-Compliance,No,No,Unknown Drugs,Complainant,Male,White,36-45,2020,Physical Force
845,845,Use of force,2020/04/21 03:59:59+00,2020/04/21 03:59:59+00,IA2020-0203,Completed,Exonerated,Yes,Non-Compliance,No,No,Unknown Drugs,Complainant,Male,White,36-45,2020,Physical Force
846,846,Use of force,2020/04/21 03:59:59+00,2020/04/21 03:59:59+00,IA2020-0203,Completed,Exonerated,Yes,Non-Compliance,No,No,Unknown Drugs,Complainant,Male,White,36-45,2020,Taser
847,847,Use of force,2020/04/21 03:59:59+00,2020/04/21 03:59:59+00,IA2020-0203,Completed,Exonerated,Yes,Non-Compliance,No,No,Unknown Drugs,Complainant,Male,White,36-45,2020,Physical Force
848,848,Use of force,2020/02/16 05:00:00+00,2020/04/30 03:59:59+00,IA2020-0151,Completed,Sustained,Yes,Fleeing,Yes,No,Unknown,Complainant,Male,Black,18-25,2020,Other
849,849,Use of force,2020/04/14 03:59:59+00,2020/04/14 03:59:59+00,IA2020-0204,Completed,Exonerated,Yes,Fleeing,Yes,No,None detected,Complainant,Male,White,18-25,2020,Taser
850,850,Use of force,2020/05/06 03:59:59+00,2020/05/06 03:59:59+00,IA2020-0176,Completed,Exonerated,Yes,Fleeing,Yes,Yes,None detected,Complainant,Male,Black,26-35,2020,Physical Force
851,851,Use of force,2020/05/03 03:59:59+00,2020/05/03 03:59:59+00,IA2020-0184,Completed,Exonerated,Yes,Non-Compliance,Yes,Yes,Alcohol and unknown drugs,Complainant,Male,White,46-55,2020,Physical Force
852,852,Use of force,2020/05/03 03:59:59+00,2020/05/03 03:59:59+00,IA2020-0184,Completed,Exonerated,Yes,Non-Compliance,Yes,Yes,Alcohol and unknown drugs,Complainant,Male,White,46-55,2020,Physical Force
853,853,Use of force,2020/05/03 03:59:59+00,2020/05/03 03:59:59+00,IA2020-0184,Completed,Exonerated,Yes,Non-Compliance,Yes,Yes,Alcohol and unknown drugs,Complainant,Male,White,46-55,2020,Physical Force
854,854,Use of force,2020/05/03 03:59:59+00,2020/05/03 03:59:59+00,IA2020-0184,Completed,Exonerated,Yes,Non-Compliance,Yes,Yes,Alcohol and unknown drugs,Complainant,Male,White,46-55,2020,Physical Force
855,855,Use of force,2020/05/03 03:59:59+00,2020/05/03 03:59:59+00,IA2020-0184,Completed,Exonerated,Yes,Non-Compliance,Yes,Yes,Alcohol and unknown drugs,Complainant,Male,White,46-55,2020,Other
856,856,Use of force,2020/05/03 03:59:59+00,2020/05/03 03:59:59+00,IA2020-0184,Completed,Exonerated,Yes,Non-Compliance,Yes,Yes,Alcohol and unknown drugs,Complainant,Male,White,46-55,2020,Other
857,857,Use of force,2020/05/09 03:59:59+00,2020/05/09 03:59:59+00,IA2020-0238,Completed,Exonerated,Yes,Non-Compliance,Yes,No,Unknown,Complainant,Male,Black,18-25,2020,Taser
858,858,Use of force,2020/05/06 03:59:59+00,2020/05/06 03:59:59+00,IA2020-0225,Completed,Exonerated,No,Non-Compliance,Yes,Yes,Mentally unstable,Complainant,Female,Black,36-45,2020,Physical Force
859,859,Use of force,2020/05/06 03:59:59+00,2020/05/06 03:59:59+00,IA2020-0225,Completed,Exonerated,No,Non-Compliance,Yes,Yes,Mentally unstable,Complainant,Female,Black,36-45,2020,Physical Force
860,860,Use of force,2020/05/06 03:59:59+00,2020/05/06 03:59:59+00,IA2020-0225,Completed,Exonerated,No,Non-Compliance,Yes,Yes,Mentally unstable,Complainant,Female,Black,36-45,2020,Physical Force
861,861,Use of force,2020/05/06 03:59:59+00,2020/05/06 03:59:59+00,IA2020-0225,Completed,Exonerated,No,Non-Compliance,Yes,Yes,Mentally unstable,Complainant,Female,Black,36-45,2020,Physical Force
862,862,Use of force,2020/05/06 03:59:59+00,2020/05/06 03:59:59+00,IA2020-0225,Completed,Exonerated,No,Non-Compliance,Yes,Yes,Mentally unstable,Complainant,Female,Black,36-45,2020,Physical Force
863,863,Use of force,2020/05/07 03:59:59+00,2020/05/07 03:59:59+00,IA2020-0226,Completed,Exonerated,No,Self Harming Behavior,Yes,No,Mentally unstable,Complainant,Male,White,>55,2020,Bean Bags
864,864,Use of force,2020/05/07 03:59:59+00,2020/05/07 03:59:59+00,IA2020-0226,Completed,Exonerated,No,Self Harming Behavior,Yes,No,Mentally unstable,Complainant,Male,White,>55,2020,Taser
865,865,Use of force,2020/05/19 03:59:59+00,2020/05/19 03:59:59+00,IA2020-0248,Completed,Exonerated,Yes,Combative,No,No,Alcohol,Complainant,Male,Black,>55,2020,Taser
866,866,Use of force,2020/05/19 03:59:59+00,2020/05/19 03:59:59+00,IA2020-0248,Completed,Exonerated,Yes,Combative,No,No,Alcohol,Complainant,Male,Black,>55,2020,Physical Force
867,867,Use of force,2020/05/12 03:59:59+00,2020/05/12 03:59:59+00,IA2020-0218,Completed,Exonerated,Yes,Threats,Yes,No,Alcohol,Complainant,Male,Black,36-45,2020,Taser
868,868,Use of force,2020/05/13 03:59:59+00,2020/05/13 03:59:59+00,IA2020-0216,Completed,Exonerated,Yes,Combative,Yes,No,Alcohol,Complainant,Male,White,46-55,2020,Physical Force
869,869,Use of force,2020/05/20 03:59:59+00,2020/05/20 03:59:59+00,IA2020-0215,Completed,Exonerated,Yes,Other (Explain in Narrative),Yes,No,None detected,Complainant,Male,Black,26-35,2020,Other
870,870,Use of force,2020/05/28 03:59:59+00,2020/05/28 03:59:59+00,IA2020-0244,Completed,Exonerated,Yes,Fleeing,Yes,No,Mentally unstable,Complainant,Male,White,26-35,2020,Taser
871,871,Use of force,2020/05/30 03:59:59+00,2020/05/30 03:59:59+00,IA2020-0219,Completed,Exonerated,No,Other (Explain in Narrative),No,Yes,Unknown,Complainant,Male,No Race Listed,Other,2020,Other Less Lethal Munit
872,872,Use of force,2020/05/30 03:59:59+00,2020/05/30 03:59:59+00,IA2020-0219,Completed,Exonerated,No,Other (Explain in Narrative),No,Yes,Unknown,Complainant,Male,No Race Listed,Other,2020,Chemical Munitions
873,873,Use of force,2020/05/30 03:59:59+00,2020/05/30 03:59:59+00,IA2020-0219,Completed,Exonerated,No,Other (Explain in Narrative),No,Yes,Unknown,Complainant,Male,No Race Listed,Other,2020,Other Less Lethal Munit
874,874,Use of force,2020/05/30 03:59:59+00,2020/05/30 03:59:59+00,IA2020-0219,Completed,Exonerated,No,Other (Explain in Narrative),No,Yes,Unknown,Complainant,Male,No Race Listed,Other,2020,Chemical Munitions
875,875,Use of force,2020/05/30 03:59:59+00,2020/05/30 03:59:59+00,IA2020-0219,Completed,Exonerated,No,Other (Explain in Narrative),No,Yes,Unknown,Complainant,Male,No Race Listed,Other,2020,Other Less Lethal Munit
876,876,Use of force,2020/05/30 03:59:59+00,2020/05/30 03:59:59+00,IA2020-0219,Completed,Exonerated,No,Other (Explain in Narrative),No,Yes,Unknown,Complainant,Male,No Race Listed,Other,2020,Chemical Munitions
877,877,Use of force,2020/05/30 03:59:59+00,2020/05/30 03:59:59+00,IA2020-0219,Completed,Exonerated,No,Other (Explain in Narrative),No,Yes,Unknown,Complainant,Male,No Race Listed,Other,2020,Other Less Lethal Munit
878,878,Use of force,2020/05/30 03:59:59+00,2020/05/30 03:59:59+00,IA2020-0219,Completed,Exonerated,No,Other (Explain in Narrative),No,Yes,Unknown,Complainant,Male,No Race Listed,Other,2020,Chemical Munitions
879,879,Use of force,2020/05/30 03:59:59+00,2020/05/30 03:59:59+00,IA2020-0219,Completed,Exonerated,No,Other (Explain in Narrative),No,Yes,Unknown,Complainant,Male,No Race Listed,Other,2020,Other
880,880,Use of force,2020/05/30 03:59:59+00,2020/05/30 03:59:59+00,IA2020-0219,Completed,Exonerated,No,Other (Explain in Narrative),No,Yes,Unknown,Complainant,Male,No Race Listed,Other,2020,Other Less Lethal Munit
881,881,Use of force,2020/05/30 03:59:59+00,2020/05/30 03:59:59+00,IA2020-0219,Completed,Exonerated,No,Other (Explain in Narrative),No,Yes,Unknown,Complainant,Male,No Race Listed,Other,2020,Chemical Munitions
882,882,Use of force,2020/05/23 03:59:59+00,2020/05/23 03:59:59+00,IA2020-0258,Completed,Exonerated,Yes,Non-Compliance,Yes,No,Drugs,Complainant,Male,Black,18-25,2020,Taser
883,883,Use of force,2020/05/23 03:59:59+00,2020/05/23 03:59:59+00,IA2020-0258,Completed,Exonerated,Yes,Non-Compliance,Yes,No,Drugs,Complainant,Male,Black,18-25,2020,Taser
884,884,Use of force,2020/05/25 03:59:59+00,2020/05/25 03:59:59+00,IA2020-0237,Completed,Exonerated,No,Fleeing,No,No,Unknown,Complainant,Male,Black,Other,2020,Taser
885,885,Use of force,2020/05/31 03:59:59+00,2020/05/31 03:59:59+00,IA2020-0251,Completed,Exonerated,Yes,Non-Compliance,No,No,Unknown,Complainant,Male,Black,26-35,2020,Physical Force
886,886,Use of force,2020/05/30 03:59:59+00,2020/06/10 03:59:59+00,IA2020-0209,Completed,Exonerated,Yes,Combative,No,No,Unknown,Complainant,Male,Black,36-45,2020,Taser
887,887,Use of force,2020/05/30 03:59:59+00,2020/06/12 03:59:59+00,IA2020-0222,Completed,Exonerated,No,Combative,Yes,No,,Complainant,Male,White,18-25,2020,
888,888,Use of force,2020/05/31 03:59:59+00,2020/06/12 03:59:59+00,IA2020-0272,Completed,Exonerated,Yes,Combative,Yes,No,None detected,Complainant,Male,White,18-25,2020,Physical Force
889,889,Use of force,2020/05/31 03:59:59+00,2020/06/12 03:59:59+00,IA2020-0272,Completed,Exonerated,Yes,Combative,Yes,No,None detected,Complainant,Male,White,18-25,2020,Physical Force
890,890,Use of force,2020/05/30 03:59:59+00,2020/06/08 03:59:59+00,IA2020-0253,Completed,Exonerated,No,Other (Explain in Narrative),No,Yes,Unknown,Complainant,No Sex Listed,No Race Listed,Other,2020,Chemical Munitions
